2013-10-06 23:02:33.468,help
2013-10-06 23:02:43.776,help
2013-10-06 23:02:47.593,maxtake 20
2013-10-06 23:02:51.913,delay 2.0e-2
2013-10-06 23:02:53.816,go
2013-10-06 23:02:53.838,data 1.0
2013-10-06 23:02:53.859,data 2.0
2013-10-06 23:02:53.880,data 3.0
2013-10-06 23:02:53.900,data 4.0
2013-10-06 23:02:53.922,data 5.0
2013-10-06 23:02:53.942,data 6.0
2013-10-06 23:02:53.964,data 7.0
2013-10-06 23:02:53.985,data 8.0
2013-10-06 23:02:54.006,data 9.0
2013-10-06 23:02:54.027,data 10.0
2013-10-06 23:02:54.049,data 11.0
2013-10-06 23:02:54.071,data 12.0
2013-10-06 23:02:54.092,data 13.0
2013-10-06 23:02:54.114,data 14.0
2013-10-06 23:02:54.135,data 15.0
2013-10-06 23:02:54.156,data 16.0
2013-10-06 23:02:54.177,data 17.0
2013-10-06 23:02:54.199,data 18.0
2013-10-06 23:02:54.220,data 19.0
2013-10-06 23:02:54.241,data 20.0
2013-10-06 23:02:54.262,data 21.0
