2013-10-06 06:59:27.425,help
2013-10-06 06:59:37.733,help
2013-10-06 06:59:41.549,maxtake 20
2013-10-06 06:59:45.869,delay 2.0e-2
2013-10-06 06:59:47.772,go
2013-10-06 06:59:47.794,data 1.0
2013-10-06 06:59:47.815,data 2.0
2013-10-06 06:59:47.836,data 3.0
2013-10-06 06:59:47.857,data 4.0
2013-10-06 06:59:47.878,data 5.0
2013-10-06 06:59:47.899,data 6.0
2013-10-06 06:59:47.920,data 7.0
2013-10-06 06:59:47.941,data 8.0
2013-10-06 06:59:47.962,data 9.0
2013-10-06 06:59:47.983,data 10.0
2013-10-06 06:59:48.005,data 11.0
2013-10-06 06:59:48.027,data 12.0
2013-10-06 06:59:48.048,data 13.0
2013-10-06 06:59:48.070,data 14.0
2013-10-06 06:59:48.091,data 15.0
2013-10-06 06:59:48.112,data 16.0
2013-10-06 06:59:48.133,data 17.0
2013-10-06 06:59:48.155,data 18.0
2013-10-06 06:59:48.176,data 19.0
2013-10-06 06:59:48.196,data 20.0
2013-10-06 06:59:48.218,data 21.0
